Birth Date,Birth Place,Death Date,Death Place,Name,URL
1905-8-2,"Radersburg, Montana, USA",1993-12-14,"New York City, New York, USA"," Myrna Loy
",https://www.imdb.com//name/nm0001485
1973-10-3,"Hamilton, Bermuda",,," Lena Headey
",https://www.imdb.com//name/nm0372176
1972-11-1,"Sydney, New South Wales, Australia",,," Toni Collette
",https://www.imdb.com//name/nm0001057
1964-2-5,"New York City, New York, USA",,," Laura Linney
",https://www.imdb.com//name/nm0001473
1901-12-27,"Schöneberg, Brandenburg, Prussia, German Empire [now part of Berlin, Germany]",1992-5-6,"Paris, France"," Marlene Dietrich
",https://www.imdb.com//name/nm0000017
1908-10-6,"Fort Wayne, Indiana, USA",1942-1-16,"Potosi Mountain, Nevada, USA"," Carole Lombard
",https://www.imdb.com//name/nm0001479
1900-10-17,"Plattsburgh, New York, USA",1991-6-19,"Carmel, California, USA"," Jean Arthur
",https://www.imdb.com//name/nm0000795
1911-3-3,"Kansas City, Missouri, USA",1937-6-7,"Los Angeles, California, USA"," Jean Harlow
",https://www.imdb.com//name/nm0001318
1911-7-16,"Independence, Missouri, USA",1995-4-25,"Rancho Mirage, California, USA"," Ginger Rogers
",https://www.imdb.com//name/nm0001677
1892-4-8,"Toronto, Ontario, Canada",1979-5-29,"Santa Monica, California, USA"," Mary Pickford
",https://www.imdb.com//name/nm0681933
1893-8-17,"Brooklyn, New York, USA",1980-11-22,"Hollywood, Los Angeles, California, USA"," Mae West
",https://www.imdb.com//name/nm0922213
1968-8-9,"Chicago, Illinois, USA",,," Gillian Anderson
",https://www.imdb.com//name/nm0000096
1990-4-15,"Paris, France",,," Emma Watson
",https://www.imdb.com//name/nm0914612
1961-11-19,"Fairfield, Connecticut, USA",,," Meg Ryan
",https://www.imdb.com//name/nm0000212
1934-3-26,"Brooklyn, New York City, New York, USA",,," Alan Arkin
",https://www.imdb.com//name/nm0000273
1951-3-17,"Springfield, Massachusetts, USA",,," Kurt Russell
",https://www.imdb.com//name/nm0000621
1980-12-19,"Los Angeles, California, USA",,," Jake Gyllenhaal
",https://www.imdb.com//name/nm0350453
1980-11-12,"London, Ontario, Canada",,," Ryan Gosling
",https://www.imdb.com//name/nm0331516
1960-9-10,"Grayshott, Hampshire, England, UK",,," Colin Firth
",https://www.imdb.com//name/nm0000147
1967-12-13,"Terrell, Texas, USA",,," Jamie Foxx
",https://www.imdb.com//name/nm0004937
1973-4-14,"Woodhaven, Queens, New York City, New York, USA",,," Adrien Brody
",https://www.imdb.com//name/nm0004778
1952-10-27,"Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy",,," Roberto Benigni
",https://www.imdb.com//name/nm0000905
1948-9-19,"Cowes, Isle of Wight, England, UK",,," Jeremy Irons
",https://www.imdb.com//name/nm0000460
1939-10-24,"Pittsburgh, Pennsylvania, USA",,," F. Murray Abraham
",https://www.imdb.com//name/nm0000719
1947-10-29,"Brooklyn, New York City, New York, USA",,," Richard Dreyfuss
",https://www.imdb.com//name/nm0000377
1916-9-28,"South Kensington, London, England, UK",1977-1-14,"Beverly Hills, Los Angeles, California, USA"," Peter Finch
",https://www.imdb.com//name/nm0002075
1918-11-4,"Mount Vernon, New York, USA",2003-11-9,"Chester, Connecticut, USA"," Art Carney
",https://www.imdb.com//name/nm0138770
1923-9-9,"Los Angeles, California, USA",2011-9-10,"Stony Brook, Long Island, New York, USA"," Cliff Robertson
",https://www.imdb.com//name/nm0731772
1924-2-19,"New York City, New York, USA",1987-8-29,"Tucson, Arizona, USA"," Lee Marvin
",https://www.imdb.com//name/nm0001511
1908-3-5,"Huyton, Lancashire, England, UK [now Huyton, Knowsley, Merseyside, England, UK]",1990-6-2,"New York City, New York, USA"," Rex Harrison
",https://www.imdb.com//name/nm0001322
1915-4-21,"Chihuahua, Mexico",2001-6-3,"Boston, Massachusetts, USA"," Anthony Quinn
",https://www.imdb.com//name/nm0000063
1930-12-8,"Vienna, Austria",2014-2-1,"Innsbruck, Tyrol, Austria"," Maximilian Schell
",https://www.imdb.com//name/nm0001703
1977-9-15,"Hammersmith, London, England, UK",,," Tom Hardy
",https://www.imdb.com//name/nm0362766
1910-3-1,"London, England, UK",1983-7-29,"Château-d'Oex, Switzerland"," David Niven
",https://www.imdb.com//name/nm0000057
1950-3-20,"Washington, District of Columbia, USA",,," William Hurt
",https://www.imdb.com//name/nm0000458
1920-7-11,"Vladivostok, Primorskaya Oblast, Far Eastern Republic [now Primorsky Krai, Russia]",1985-10-10,"New York City, New York, USA"," Yul Brynner
",https://www.imdb.com//name/nm0000989
1917-1-24,"Hamden, Connecticut, USA",2012-7-8,"Los Angeles, California, USA"," Ernest Borgnine
",https://www.imdb.com//name/nm0000308
1976-7-19,"Hammersmith, London, England, UK",,," Benedict Cumberbatch
",https://www.imdb.com//name/nm1212722
1925-4-14,"Westhampton, New York, USA",2002-7-9,"Los Angeles, California, USA"," Rod Steiger
",https://www.imdb.com//name/nm0001768
1997-2-10,"Atlanta, Georgia, USA",,," Chloë Grace Moretz
",https://www.imdb.com//name/nm1631269
1985-8-9,"Portland, Maine, USA",,," Anna Kendrick
",https://www.imdb.com//name/nm0447695
1967-1-14,"Islington, London, England, UK",,," Emily Watson
",https://www.imdb.com//name/nm0001833
1966-5-26,"Golders Green, London, England, UK",,," Helena Bonham Carter
",https://www.imdb.com//name/nm0000307
1985-3-26,"Teddington, Middlesex, England, UK",,," Keira Knightley
",https://www.imdb.com//name/nm0461136
1980-4-19,"Newport Beach, California, USA",,," Alexis Thorpe
",https://www.imdb.com//name/nm0005490
1897-1-3,"Brooklyn [now in New York City], New York, USA",1961-9-22,"Hollywood, Los Angeles, California, USA"," Marion Davies
",https://www.imdb.com//name/nm0203836
1984-11-22,"Manhattan, New York City, New York, USA",,," Scarlett Johansson
",https://www.imdb.com//name/nm0424060
1994-2-23,"Conyers, Georgia, USA",,," Dakota Fanning
",https://www.imdb.com//name/nm0266824
1969-2-11,"Sherman Oaks, California, USA",,," Jennifer Aniston
",https://www.imdb.com//name/nm0000098
1970-12-12,"Catskill Mountains, New York, USA",,," Jennifer Connelly
",https://www.imdb.com//name/nm0000124
1978-11-17,"London, Ontario, Canada",,," Rachel McAdams
",https://www.imdb.com//name/nm1046097
1985-5-28,"Westminster, London, England, UK",,," Carey Mulligan
",https://www.imdb.com//name/nm1659547
1983-8-14,"Chernovtsy, Ukrainian SSR, USSR [now Chernivtsi, Ukraine]",,," Mila Kunis
",https://www.imdb.com//name/nm0005109
1985-12-3,"Allentown, Pennsylvania, USA",,," Amanda Seyfried
",https://www.imdb.com//name/nm1086543
1969-7-24,"The Bronx, New York City, New York, USA",,," Jennifer Lopez
",https://www.imdb.com//name/nm0000182
1973-10-3,"Guelph, Ontario, Canada",,," Neve Campbell
",https://www.imdb.com//name/nm0000117
1974-5-21,"Point Reyes, California, USA",,," Fairuza Balk
",https://www.imdb.com//name/nm0000103
1981-4-28,"Pomona, California, USA",,," Jessica Alba
",https://www.imdb.com//name/nm0004695
1990-4-9,"Los Angeles, California, USA",,," Kristen Stewart
",https://www.imdb.com//name/nm0829576
1950-2-22,"Edgbaston, Birmingham, West Midlands, England, UK",,," Julie Walters
",https://www.imdb.com//name/nm0910278
1985-4-17,"Bedford, New York, USA",,," Rooney Mara
",https://www.imdb.com//name/nm1913734
1958-11-22,"Los Angeles, California, USA",,," Jamie Lee Curtis
",https://www.imdb.com//name/nm0000130
1988-11-6,"Scottsdale, Arizona, USA",,," Emma Stone
",https://www.imdb.com//name/nm1297015
1982-4-30,"Point Pleasant, New Jersey, USA",,," Kirsten Dunst
",https://www.imdb.com//name/nm0000379
1912-1-8,"Santurce, Puerto Rico",1992-1-26,"Coral Gables, Florida, USA"," José Ferrer
",https://www.imdb.com//name/nm0001207
1911-12-9,"Philadelphia, Pennsylvania, USA",1986-4-26,"Rancho Mirage, California, USA"," Broderick Crawford
",https://www.imdb.com//name/nm0002024
1891-2-9,"Richmond, Surrey, England, UK",1958-5-19,"Santa Barbara, California, USA"," Ronald Colman
",https://www.imdb.com//name/nm0172903
1897-8-31,"Racine, Wisconsin, USA",1975-4-14,"Los Angeles, California, USA"," Fredric March
",https://www.imdb.com//name/nm0545298
1907-1-3,"Neath, Glamorgan, Wales, UK",1986-3-10,"Torrance, California, USA"," Ray Milland
",https://www.imdb.com//name/nm0001537
1903-5-2,"Tacoma, Washington, USA",1977-10-14,"Madrid, Spain"," Bing Crosby
",https://www.imdb.com//name/nm0001078
1895-5-26,"Budapest, Austria-Hungary [now Hungary]",1971-8-16,"Tangier, Morocco"," Paul Lukas
",https://www.imdb.com//name/nm0510134
1905-3-18,"Withington, Manchester, England, UK",1958-6-9,"London, England, UK"," Robert Donat
",https://www.imdb.com//name/nm0232196
1895-9-22,"Lemberg, Galicia, Austria-Hungary [now Lviv, Ukraine]",1967-8-25,"Montecito, California, USA"," Paul Muni
",https://www.imdb.com//name/nm0612847
1886-12-10,"Tunbridge Wells, Kent, England, UK",1959-11-7,"Newport Beach, California, USA"," Victor McLaglen
",https://www.imdb.com//name/nm0572142
1899-7-1,"Victoria Hotel, Scarborough, North Yorkshire, England, UK",1962-12-15,"Hollywood, Los Angeles, California, USA"," Charles Laughton
",https://www.imdb.com//name/nm0001452
1885-4-1,"Kansas City, Missouri, USA",1949-4-15,"Beverly Hills, Los Angeles, California, USA"," Wallace Beery
",https://www.imdb.com//name/nm0000891
1878-4-28,"Philadelphia, Pennsylvania, USA",1954-11-15,"Van Nuys, California, USA"," Lionel Barrymore
",https://www.imdb.com//name/nm0000859
1952-10-22,"Pittsburgh, Pennsylvania, USA",,," Jeff Goldblum
",https://www.imdb.com//name/nm0000156
1983-8-11,"Melbourne, Victoria, Australia",,," Chris Hemsworth
",https://www.imdb.com//name/nm1165110
1889-3-29,"Columbus, Ohio, USA",1951-5-7,"Beverly Hills, Los Angeles, California, USA"," Warner Baxter
",https://www.imdb.com//name/nm0062828
1884-7-23,"Rorschach, St. Gallen, Switzerland",1950-1-2,"Strobl, Salzburg, Austria"," Emil Jannings
",https://www.imdb.com//name/nm0417837
1951-7-9,"Kansas City, Missouri, USA",,," Chris Cooper
",https://www.imdb.com//name/nm0177933
1949-5-24,"Lincoln, Lincolnshire, England, UK",,," Jim Broadbent
",https://www.imdb.com//name/nm0000980
1928-8-31,"Laurel, Nebraska, USA",2002-11-18,"Beverly Hills, Los Angeles, California, USA"," James Coburn
",https://www.imdb.com//name/nm0000336
1968-1-2,"The Bronx, New York City, New York, USA",,," Cuba Gooding Jr.
",https://www.imdb.com//name/nm0000421
1928-6-20,"Brooklyn, New York City, New York, USA",2017-7-15,"Los Angeles, California, USA"," Martin Landau
",https://www.imdb.com//name/nm0001445
1919-2-18,"Lattimer Mines, Pennsylvania, USA",2006-11-10,"Montecito, California, USA"," Jack Palance
",https://www.imdb.com//name/nm0001588
1947-10-24,"St. Louis, Missouri, USA",,," Kevin Kline
",https://www.imdb.com//name/nm0000177
1908-5-31,"Kenosha, Wisconsin, USA",1993-12-6,"Scottsdale, Arizona, USA"," Don Ameche
",https://www.imdb.com//name/nm0000747
1973-7-26,"Finsbury Park, London, England, UK",,," Kate Beckinsale
",https://www.imdb.com//name/nm0000295
1980-1-17,"Los Angeles, California, USA",,," Zooey Deschanel
",https://www.imdb.com//name/nm0221046
1980-9-9,"Kalispell, Montana, USA",,," Michelle Williams
",https://www.imdb.com//name/nm0931329
1975-12-17,"Kiev, Ukrainian SSR, USSR [now Ukraine]",,," Milla Jovovich
",https://www.imdb.com//name/nm0000170
1992-7-22,"Grand Prairie, Texas, USA",,," Selena Gomez
",https://www.imdb.com//name/nm1411125
1970-3-7,"Westminster, London, England, UK",,," Rachel Weisz
",https://www.imdb.com//name/nm0001838
1980-7-18,"Huntington Woods, Michigan, USA",,," Kristen Bell
",https://www.imdb.com//name/nm0068338
1978-11-24,"Washington, District of Columbia, USA",,," Katherine Heigl
",https://www.imdb.com//name/nm0001337
1977-7-1,"New York City, New York, USA",,," Liv Tyler
",https://www.imdb.com//name/nm0000239
1977-3-24,"Sacramento, California, USA",,," Jessica Chastain
",https://www.imdb.com//name/nm1567113
1986-5-16,"Oak Ridge, Tennessee, USA",,," Megan Fox
",https://www.imdb.com//name/nm1083271
1922-1-17,"Oak Park, Illinois, USA",,," Betty White
",https://www.imdb.com//name/nm0924508
1924-11-22,"Kirksville, Missouri, USA",1987-6-13,"New York City, New York, USA"," Geraldine Page
",https://www.imdb.com//name/nm0656183
1980-12-30,"Boston, Massachusetts, USA",,," Eliza Dushku
",https://www.imdb.com//name/nm0244630
1966-4-8,"Dallas, Texas, USA",,," Robin Wright
",https://www.imdb.com//name/nm0000705
1986-4-9,"Fort Worth, Texas, USA",,," Leighton Meester
",https://www.imdb.com//name/nm1015262
1919-3-2,"Tulsa, Oklahoma, USA",2009-12-17,"Malibu, California, USA"," Jennifer Jones
",https://www.imdb.com//name/nm0428354
1928-4-23,"Santa Monica, California, USA",2014-2-10,"Woodside, California, USA"," Shirley Temple
",https://www.imdb.com//name/nm0000073
1961-1-13,"New York City, New York, USA",,," Julia Louis-Dreyfus
",https://www.imdb.com//name/nm0000506
1986-10-6,"New York City, New York, USA",,," Olivia Thirlby
",https://www.imdb.com//name/nm1880888
1946-5-20,"El Centro, California, USA",,," Cher
",https://www.imdb.com//name/nm0000333
1949-12-25,"Quitman, Texas, USA",,," Sissy Spacek
",https://www.imdb.com//name/nm0000651
1934-7-22,"Birmingham, Alabama, USA",,," Louise Fletcher
",https://www.imdb.com//name/nm0001221
1940-4-14,"Chabua, Assam Province, British India [now Assam, India]",,," Julie Christie
",https://www.imdb.com//name/nm0001046
1926-1-20,"Packard, Kentucky, USA",2010-8-8,"Edgartown, Massachusetts, USA"," Patricia Neal
",https://www.imdb.com//name/nm0623658
1940-3-22,"Samrong Young, Cambodia",1996-2-25,"Los Angeles, California, USA"," Haing S. Ngor
",https://www.imdb.com//name/nm0628955
1936-5-27,"Brooklyn, New York City, New York, USA",,," Louis Gossett Jr.
",https://www.imdb.com//name/nm0001283
1904-4-14,"South Kensington, London, England, UK",2000-5-21,"Wotton Underwood, Aylesbury, Buckinghamshire, England, UK"," John Gielgud
",https://www.imdb.com//name/nm0000024
1960-8-16,"Malibu, California, USA",,," Timothy Hutton
",https://www.imdb.com//name/nm0000459
1901-4-5,"Macon, Georgia, USA",1981-8-4,"New York City, New York, USA"," Melvyn Douglas
",https://www.imdb.com//name/nm0002048
1922-7-26,"Chicago, Illinois, USA",2000-12-26,"Bridgeport, Connecticut, USA"," Jason Robards
",https://www.imdb.com//name/nm0001673
1896-1-20,"New York City, New York, USA",1996-3-9,"Beverly Hills, Los Angeles, California, USA"," George Burns
",https://www.imdb.com//name/nm0122675
1974-1-30,"Haverfordwest, Pembrokeshire, Wales, UK",,," Christian Bale
",https://www.imdb.com//name/nm0000288
1970-11-6,"Austin, Texas, USA",,," Ethan Hawke
",https://www.imdb.com//name/nm0000160
1918-6-13,"Foraker, Shidler, Oklahoma, USA",1996-4-8,"Mesa, Arizona, USA"," Ben Johnson
",https://www.imdb.com//name/nm0424565
1908-2-22,"The Watts Naval Training College, North Elmham, Norfolk, England, UK",2005-4-23,"Denham, Buckinghamshire, England, UK"," John Mills
",https://www.imdb.com//name/nm0590055
1907-6-16,"Malden, Massachusetts, USA",1981-11-25,"Hollywood Hills, Los Angeles, California, USA"," Jack Albertson
",https://www.imdb.com//name/nm0016776
1960-8-17,"Santa Monica, California, USA",,," Sean Penn
",https://www.imdb.com//name/nm0000576
1925-2-18,"New York City, New York, USA",2016-2-28,"Middleton, Idaho, USA"," George Kennedy
",https://www.imdb.com//name/nm0001421
1920-10-1,"Lower East Side, Manhattan, New York City, New York, USA",2000-7-1,"Santa Monica, California, USA"," Walter Matthau
",https://www.imdb.com//name/nm0000527
1919-11-4,"The Bronx, New York City, New York, USA",1996-2-13,"Rome, Lazio, Italy"," Martin Balsam
",https://www.imdb.com//name/nm0000842
1921-4-16,"London, England, UK",2004-3-28,"Genolier, Vaud, Switzerland"," Peter Ustinov
",https://www.imdb.com//name/nm0001811
1901-3-25,"Hartford, Connecticut, USA",1970-4-28,"Hollywood, Los Angeles, California, USA"," Ed Begley
",https://www.imdb.com//name/nm0003225
1934-9-16,"Norwood, Ohio, USA",,," George Chakiris
",https://www.imdb.com//name/nm0001995
1912-5-30,"Marian Glas, Anglesey, Wales, UK",1980-5-14,"London, England, UK"," Hugh Griffith
",https://www.imdb.com//name/nm0341518
1909-6-14,"Hunt City, Illinois, USA",1995-4-14,"Anacortes, Washington, USA"," Burl Ives
",https://www.imdb.com//name/nm0412322
1919-2-5,"New York City, New York, USA",2006-7-13,"Century City, California, USA"," Red Buttons
",https://www.imdb.com//name/nm0000999
1915-9-10,"New York City, New York, USA",1985-5-9,"St. Erne's Sanatorium, Inglewood, California, USA"," Edmond O'Brien
",https://www.imdb.com//name/nm0639529
1979-6-21,"Virginia, Minnesota, USA",,," Chris Pratt
",https://www.imdb.com//name/nm0695435
1915-12-12,"Hoboken, New Jersey, USA",1998-5-14,"Los Angeles, California, USA"," Frank Sinatra
",https://www.imdb.com//name/nm0000069
1931-9-17,"The Bronx, New York City, New York, USA",2005-6-6,"New York City, New York, USA"," Anne Bancroft
",https://www.imdb.com//name/nm0000843
1933-2-13,"Chicago, Illinois, USA",,," Kim Novak
",https://www.imdb.com//name/nm0001571
1921-3-25,"Wiesbaden, Hesse, Germany",1985-9-30,"Autheuil-Authouillet, Eure, France"," Simone Signoret
",https://www.imdb.com//name/nm0797531
1987-2-21,"Halifax, Nova Scotia, Canada",,," Elliot Page
",https://www.imdb.com//name/nm0680983
1925-10-16,"Regent's Park, London, England, UK",,," Angela Lansbury
",https://www.imdb.com//name/nm0001450
1921-6-21,"New York City, New York, USA",1965-6-7,"New York City, New York, USA"," Judy Holliday
",https://www.imdb.com//name/nm0391062
1913-1-6,"Salt Lake City, Utah, USA",2000-8-12,"Los Angeles, California, USA"," Loretta Young
",https://www.imdb.com//name/nm0949835
1934-3-31,"Charleroi, Pennsylvania, USA",,," Shirley Jones
",https://www.imdb.com//name/nm0429250
1973-8-6,"Clifton, New Jersey, USA",,," Vera Farmiga
",https://www.imdb.com//name/nm0267812
1900-10-10,"Washington, District of Columbia, USA",1993-3-17,"Nyack, New York, USA"," Helen Hayes
",https://www.imdb.com//name/nm0371040
1868-11-9,"Cobourg, Ontario, Canada",1934-7-28,"Santa Barbara, California, USA"," Marie Dressler
",https://www.imdb.com//name/nm0237597
1906-10-6,"Philadelphia, Pennsylvania, USA",1984-9-14,"Palm Springs, California, USA"," Janet Gaynor
",https://www.imdb.com//name/nm0310980
1983-3-1,"Mexico City, Distrito Federal, Mexico",,," Lupita Nyong'o
",https://www.imdb.com//name/nm2143282
1970-5-25,"Montgomery, Alabama, USA",,," Octavia Spencer
",https://www.imdb.com//name/nm0818055
1960-9-14,"New York City, New York, USA",,," Melissa Leo
",https://www.imdb.com//name/nm0502425
1967-12-11,"Woodlawn, Maryland, USA",,," Mo'Nique
",https://www.imdb.com//name/nm0594898
1965-8-24,"Morton Grove, Illinois, USA",,," Marlee Matlin
",https://www.imdb.com//name/nm0559144
1960-11-5,"London, England, UK",,," Tilda Swinton
",https://www.imdb.com//name/nm0842770
1981-9-12,"Chicago, Illinois, USA",,," Jennifer Hudson
",https://www.imdb.com//name/nm1617685
1969-4-25,"Katy, Texas, USA",,," Renée Zellweger
",https://www.imdb.com//name/nm0000250
1959-8-14,"La Jolla, California, USA",,," Marcia Gay Harden
",https://www.imdb.com//name/nm0001315
1982-7-24,"Winnipeg, Manitoba, Canada",,," Anna Paquin
",https://www.imdb.com//name/nm0001593
1964-12-4,"Brooklyn, New York City, New York, USA",,," Marisa Tomei
",https://www.imdb.com//name/nm0000673
1948-2-28,"Queens, New York City, New York, USA",,," Mercedes Ruehl
",https://www.imdb.com//name/nm0001689
1945-2-17,"Dublin, Ireland",,," Brenda Fricker
",https://www.imdb.com//name/nm0002084
1948-7-30,"Casablanca, French Protectorate of Morocco [now Morocco]",,," Jean Reno
",https://www.imdb.com//name/nm0000606
1906-7-3,"St. Petersburg, Russian Empire [now Russia]",1972-4-25,"Castelldefels, Barcelona, Catalonia, Spain"," George Sanders
",https://www.imdb.com//name/nm0001695
1903-11-7,"Columbus Grove, Ohio, USA",1991-2-5,"Santa Monica, California, USA"," Dean Jagger
",https://www.imdb.com//name/nm0415591
1883-4-5,"Toronto, Ontario, Canada",1950-4-7,"Hollywood, Los Angeles, California, USA"," Walter Huston
",https://www.imdb.com//name/nm0404158
1877-9-26,"Wandsworth, London, England, UK",1959-9-6,"Woodland Hills, Los Angeles, California, USA"," Edmund Gwenn
",https://www.imdb.com//name/nm0350324
1914-1-14,"North Sydney, Nova Scotia, Canada",2002-1-29,"Needham, Massachusetts, USA"," Harold Russell
",https://www.imdb.com//name/nm0751174
1960-9-9,"Hammersmith, London, England, UK",,," Hugh Grant
",https://www.imdb.com//name/nm0000424
1888-3-10,"Dublin, Ireland",1961-1-14,"Dublin, Ireland"," Barry Fitzgerald
",https://www.imdb.com//name/nm0280178
1877-6-19,"Savannah, Georgia, USA",1961-8-30,"New York City, New York, USA"," Charles Coburn
",https://www.imdb.com//name/nm0002013
1908-12-13,"Walters, Oklahoma, USA",1971-7-23,"Hollywood, Los Angeles, California, USA"," Van Heflin
",https://www.imdb.com//name/nm0001336
1882-7-27,"Bow, London, England, UK",1974-5-25,"Van Nuys, California, USA"," Donald Crisp
",https://www.imdb.com//name/nm0187981
1892-7-11,"Elizabeth, New Jersey, USA",1962-12-17,"Beverly Hills, Los Angeles, California, USA"," Thomas Mitchell
",https://www.imdb.com//name/nm0593775
1894-7-25,"Lynn, Massachusetts, USA",1974-9-21,"Oxnard, California, USA"," Walter Brennan
",https://www.imdb.com//name/nm0000974
1896-3-22,"Vienna, Austria-Hungary [now Austria]",1964-1-21,"New York City, New York, USA"," Joseph Schildkraut
",https://www.imdb.com//name/nm0771584
1964-9-2,"Beirut, Lebanon",,," Keanu Reeves
",https://www.imdb.com//name/nm0000206
1980-4-26,"Cullman, Alabama, USA",,," Channing Tatum
",https://www.imdb.com//name/nm1475594
1968-10-12,"Sydney, New South Wales, Australia",,," Hugh Jackman
",https://www.imdb.com//name/nm0413168
1972-5-2,"Hayward, California, USA",,," Dwayne Johnson
",https://www.imdb.com//name/nm0425005
1966-9-9,"Brooklyn, New York City, New York, USA",,," Adam Sandler
",https://www.imdb.com//name/nm0001191
1989-7-23,"Fulham, London, England, UK",,," Daniel Radcliffe
",https://www.imdb.com//name/nm0705356
1968-3-2,"Chester, Cheshire, England, UK",,," Daniel Craig
",https://www.imdb.com//name/nm0185819
1983-5-5,"Jersey, Channel Islands",,," Henry Cavill
",https://www.imdb.com//name/nm0147147
1967-7-18,"Alameda County, California, USA",,," Vin Diesel
",https://www.imdb.com//name/nm0004874
1972-8-15,"Berkeley, California, USA",,," Ben Affleck
",https://www.imdb.com//name/nm0000255
1980-8-26,"Los Angeles, California, USA",,," Chris Pine
",https://www.imdb.com//name/nm1517976
1931-6-20,"Lowell, Massachusetts, USA",2021-5-1,"Manhattan, New York City, New York, USA"," Olympia Dukakis
",https://www.imdb.com//name/nm0001156
1907-12-22,"Croydon, Surrey, England, UK",1991-6-14,"Hampstead, London, England, UK"," Peggy Ashcroft
",https://www.imdb.com//name/nm0001919
1945-4-2,"Morristown, New Jersey, USA",,," Linda Hunt
",https://www.imdb.com//name/nm0001373
1925-6-21,"Troy, New York, USA",2006-3-13,"Lenox, Massachusetts, USA"," Maureen Stapleton
",https://www.imdb.com//name/nm0822972
1953-2-8,"Newport, Arkansas, USA",,," Mary Steenburgen
",https://www.imdb.com//name/nm0005460
1914-8-2,"Old Westbury, New York, USA",2001-4-7,"Los Angeles, California, USA"," Beatrice Straight
",https://www.imdb.com//name/nm0833152
1937-1-30,"Blackheath, London, England, UK",,," Vanessa Redgrave
",https://www.imdb.com//name/nm0000603
1925-10-31,"New York City, New York, USA",,," Lee Grant
",https://www.imdb.com//name/nm0335519
1919-3-29,"Columbus, Ohio, USA",2001-12-31,"Norwalk, Connecticut, USA"," Eileen Heckart
",https://www.imdb.com//name/nm0373012
1926-4-30,"Des Moines, Iowa, USA",2021-1-27,"Encinitas, California, USA"," Cloris Leachman
",https://www.imdb.com//name/nm0001458
1896-10-30,"Quincy, Massachusetts, USA",1985-8-28,"Edgartown, Massachusetts, USA"," Ruth Gordon
",https://www.imdb.com//name/nm0002106
1927-11-20,"Marblehead, Massachusetts, USA",,," Estelle Parsons
",https://www.imdb.com//name/nm0663820
1937-4-27,"Hastings, Nebraska, USA",1992-3-2,"Westport, Connecticut, USA"," Sandy Dennis
",https://www.imdb.com//name/nm0006800
1920-8-18,"St. Louis, Missouri, USA",2006-1-14,"Beverly Hills, Los Angeles, California, USA"," Shelley Winters
",https://www.imdb.com//name/nm0001859
1977-11-16,"Lower East Side, Manhattan, New York City, New York, USA",,," Maggie Gyllenhaal
",https://www.imdb.com//name/nm0350454
1978-12-18,"Toledo, Ohio, USA",,," Katie Holmes
",https://www.imdb.com//name/nm0005017
1946-12-14,"Queens, New York City, New York, USA",2016-3-29,"Coeur d'Alene, Idaho, USA"," Patty Duke
",https://www.imdb.com//name/nm0001157
1931-12-11,"Humacao, Puerto Rico",,," Rita Moreno
",https://www.imdb.com//name/nm0001549
1912-8-15,"Bramhall, Cheshire, England, UK",2003-5-14,"Beaconsfield, Buckinghamshire, England, UK"," Wendy Hiller
",https://www.imdb.com//name/nm0384908
1929-5-8,"Otaru, Hokkaido, Japan",2007-8-28,"Licking, Missouri, USA"," Miyoshi Umeki
",https://www.imdb.com//name/nm0880855
1924-1-29,"Chicago, Illinois, USA",2018-1-19,"Dallas, Texas, USA"," Dorothy Malone
",https://www.imdb.com//name/nm0540416
1915-12-29,"Oakland, California, USA",1996-6-10,"Queens, New York City, New York, USA"," Jo Van Fleet
",https://www.imdb.com//name/nm0886888
1924-7-4,"Newark, New Jersey, USA",,," Eva Marie Saint
",https://www.imdb.com//name/nm0001693
1923-11-28,"Los Angeles, California, USA",1981-10-5,"New York City, New York, USA"," Gloria Grahame
",https://www.imdb.com//name/nm0002108
1922-11-12,"Detroit, Michigan, USA",2002-9-11,"New York City, New York, USA"," Kim Hunter
",https://www.imdb.com//name/nm0001375
1911-12-8,"New York City, New York, USA",1976-2-11,"Woodland Hills, Los Angeles, California, USA"," Lee J. Cobb
",https://www.imdb.com//name/nm0002011
1983-8-20,"Los Angeles, California, USA",,," Andrew Garfield
",https://www.imdb.com//name/nm1940449
1935-8-12,"Boston, Massachusetts, USA",1978-3-13,"New York City, New York, USA"," John Cazale
",https://www.imdb.com//name/nm0001030
1971-1-7,"Modesto, California, USA",,," Jeremy Renner
",https://www.imdb.com//name/nm0719637
1962-8-16,"Concord, Massachusetts, USA",,," Steve Carell
",https://www.imdb.com//name/nm0136797
1972-6-19,"Rueil-Malmaison, Hauts-de-Seine, France",,," Jean Dujardin
",https://www.imdb.com//name/nm0241121
1981-6-13,"Boston, Massachusetts, USA",,," Chris Evans
",https://www.imdb.com//name/nm0262635
1978-4-19,"Palo Alto, California, USA",,," James Franco
",https://www.imdb.com//name/nm0290556
1969-10-1,"Wilkesboro, North Carolina, USA",,," Zach Galifianakis
",https://www.imdb.com//name/nm0302108
1967-7-16,"Irvine, California, USA",,," Will Ferrell
",https://www.imdb.com//name/nm0002071
1986-6-11,"Los Angeles, California, USA",,," Shia LaBeouf
",https://www.imdb.com//name/nm0479471
1982-4-15,"Vancouver, British Columbia, Canada",,," Seth Rogen
",https://www.imdb.com//name/nm0736622
1981-2-17,"Los Angeles, California, USA",,," Joseph Gordon-Levitt
",https://www.imdb.com//name/nm0330687
