Name,Birth Date,Birth Date(Date Time),Birth Place,Death Date,Death Date(Date Time),Death Place,URL,Age
 Shirley Booth,1898-8-30,1898-08-30,"New York City, New York, USA",1992-10-16,1992-10-16,"North Chatham, Massachusetts, USA",https://www.imdb.com//name/nm0095804,94
 Reese Witherspoon,1976-3-22,1976-03-22,"New Orleans, Louisiana, USA",,,,https://www.imdb.com//name/nm0000702,45
 Benicio Del Toro,1967-2-19,1967-02-19,"San Germán, Puerto Rico",,,,https://www.imdb.com//name/nm0001125,54
 Kevin Bacon,1958-7-8,1958-07-08,"Philadelphia, Pennsylvania, USA",,,,https://www.imdb.com//name/nm0000102,63
 Patrick Swayze,1952-8-18,1952-08-18,"Houston, Texas, USA",2009-9-14,2009-09-14,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000664,57
 Michael Caine,1933-3-14,1933-03-14,"Rotherhithe, London, England, UK",,,,https://www.imdb.com//name/nm0000323,88
 Robert Duvall,1931-1-5,1931-01-05,"San Diego, California, USA",,,,https://www.imdb.com//name/nm0000380,90
 Burt Lancaster,1913-11-2,1913-11-02,"New York City, New York, USA",1994-10-20,1994-10-20,"Century City, California, USA",https://www.imdb.com//name/nm0000044,80
 Robert Mitchum,1917-8-6,1917-08-06,"Bridgeport, Connecticut, USA",1997-7-1,1997-07-01,"Santa Barbara, California, USA",https://www.imdb.com//name/nm0000053,79
 Colin Farrell,1976-5-31,1976-05-31,"Castleknock, Dublin, Ireland",,,,https://www.imdb.com//name/nm0268199,45
 William Holden,1918-4-17,1918-04-17,"O'Fallon, Illinois, USA",1981-11-12,1981-11-12,"Santa Monica, California, USA",https://www.imdb.com//name/nm0000034,63
 Edward G. Robinson,1893-12-12,1893-12-12,"Bucharest, Romania",1973-1-26,1973-01-26,"Hollywood, Los Angeles, California, USA",https://www.imdb.com//name/nm0000064,79
 William Powell,1892-7-29,1892-07-29,"Pittsburgh, Pennsylvania, USA",1984-3-5,1984-03-05,"Palm Springs, California, USA",https://www.imdb.com//name/nm0001635,91
 Jared Leto,1971-12-26,1971-12-26,"Bossier City, Louisiana, USA",,,,https://www.imdb.com//name/nm0001467,49
 Errol Flynn,1909-6-20,1909-06-20,"Hobart, Tasmania, Australia",1959-10-14,1959-10-14,"Vancouver, British Columbia, Canada",https://www.imdb.com//name/nm0001224,50
 Groucho Marx,1890-10-2,1890-10-02,"New York City, New York, USA",1977-8-19,1977-08-19,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000050,86
 James Mason,1909-5-15,1909-05-15,"Huddersfield, Yorkshire [now in Kirklees, West Yorkshire], England, UK",1984-7-27,1984-07-27,"Lausanne, Vaud, Switzerland",https://www.imdb.com//name/nm0000051,75
 Buster Keaton,1895-10-4,1895-10-04,"Piqua, Kansas, USA",1966-2-1,1966-02-01,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000036,70
 Orson Welles,1915-5-6,1915-05-06,"Kenosha, Wisconsin, USA",1985-10-10,1985-10-10,"Hollywood, Los Angeles, California, USA",https://www.imdb.com//name/nm0000080,70
 Fred Astaire,1899-5-10,1899-05-10,"Omaha, Nebraska, USA",1987-6-22,1987-06-22,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000001,88
 Bradley Cooper,1975-1-5,1975-01-05,"Philadelphia, Pennsylvania, USA",,,,https://www.imdb.com//name/nm0177896,46
 Gary Oldman,1958-3-21,1958-03-21,"New Cross, London, England, UK",,,,https://www.imdb.com//name/nm0000198,63
 Jude Law,1972-12-29,1972-12-29,"Lewisham, London, England, UK",,,,https://www.imdb.com//name/nm0000179,48
 Paul Giamatti,1967-6-6,1967-06-06,"New Haven, Connecticut, USA",,,,https://www.imdb.com//name/nm0316079,54
 Liam Neeson,1952-6-7,1952-06-07,"Ballymena, Co. Antrim, Northern Ireland, UK",,,,https://www.imdb.com//name/nm0000553,69
 Matt Damon,1970-10-8,1970-10-08,"Boston, Massachusetts, USA",,,,https://www.imdb.com//name/nm0000354,50
 Michael Fassbender,1977-4-2,1977-04-02,"Heidelberg, Baden-Württemberg, West Germany",,,,https://www.imdb.com//name/nm1055413,44
 Carol Burnett,1933-4-26,1933-04-26,"San Antonio, Texas, USA",,,,https://www.imdb.com//name/nm0000993,88
 Jessica Tandy,1909-6-7,1909-06-07,"Stoke Newington, London, England, UK",1994-9-11,1994-09-11,"Easton, Connecticut, USA",https://www.imdb.com//name/nm0001788,85
 Helen Hunt,1963-6-15,1963-06-15,"Culver City, California, USA",,,,https://www.imdb.com//name/nm0000166,58
 Patricia Arquette,1968-4-8,1968-04-08,"Chicago, Illinois, USA",,,,https://www.imdb.com//name/nm0000099,53
 Carmen Miranda,1909-2-9,1909-02-09,"Marco de Canavezes, Portugal",1955-8-5,1955-08-05,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0000544,46
 Kate Hudson,1979-4-19,1979-04-19,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0005028,42
 Catherine Zeta-Jones,1969-9-25,1969-09-25,"Swansea, West Glamorgan, Wales, UK",,,,https://www.imdb.com//name/nm0001876,51
 Cameron Diaz,1972-8-30,1972-08-30,"San Diego, California, USA",,,,https://www.imdb.com//name/nm0000139,48
 Debbie Reynolds,1932-4-1,1932-04-01,"El Paso, Texas, USA",2016-12-28,2016-12-28,"Los Angeles, California, USA",https://www.imdb.com//name/nm0001666,84
 Ellen Burstyn,1932-12-7,1932-12-07,"Detroit, Michigan, USA",,,,https://www.imdb.com//name/nm0000995,88
 Maureen O'Hara,1920-8-17,1920-08-17,"Ranelagh, County Dublin, Ireland, UK [now Ranelagh, Dublin, Republic of Ireland]",2015-10-24,2015-10-24,"Boise, Idaho, USA",https://www.imdb.com//name/nm0000058,95
 Myrna Loy,1905-8-2,1905-08-02,"Radersburg, Montana, USA",1993-12-14,1993-12-14,"New York City, New York, USA",https://www.imdb.com//name/nm0001485,88
 Lena Headey,1973-10-3,1973-10-03,"Hamilton, Bermuda",,,,https://www.imdb.com//name/nm0372176,47
 Toni Collette,1972-11-1,1972-11-01,"Sydney, New South Wales, Australia",,,,https://www.imdb.com//name/nm0001057,48
 Laura Linney,1964-2-5,1964-02-05,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0001473,57
 Marlene Dietrich,1901-12-27,1901-12-27,"Schöneberg, Brandenburg, Prussia, German Empire [now part of Berlin, Germany]",1992-5-6,1992-05-06,"Paris, France",https://www.imdb.com//name/nm0000017,90
 Carole Lombard,1908-10-6,1908-10-06,"Fort Wayne, Indiana, USA",1942-1-16,1942-01-16,"Potosi Mountain, Nevada, USA",https://www.imdb.com//name/nm0001479,33
 Jean Arthur,1900-10-17,1900-10-17,"Plattsburgh, New York, USA",1991-6-19,1991-06-19,"Carmel, California, USA",https://www.imdb.com//name/nm0000795,90
 Jean Harlow,1911-3-3,1911-03-03,"Kansas City, Missouri, USA",1937-6-7,1937-06-07,"Los Angeles, California, USA",https://www.imdb.com//name/nm0001318,26
 Ginger Rogers,1911-7-16,1911-07-16,"Independence, Missouri, USA",1995-4-25,1995-04-25,"Rancho Mirage, California, USA",https://www.imdb.com//name/nm0001677,83
 Mary Pickford,1892-4-8,1892-04-08,"Toronto, Ontario, Canada",1979-5-29,1979-05-29,"Santa Monica, California, USA",https://www.imdb.com//name/nm0681933,87
 Mae West,1893-8-17,1893-08-17,"Brooklyn, New York, USA",1980-11-22,1980-11-22,"Hollywood, Los Angeles, California, USA",https://www.imdb.com//name/nm0922213,87
 Gillian Anderson,1968-8-9,1968-08-09,"Chicago, Illinois, USA",,,,https://www.imdb.com//name/nm0000096,52
 Emma Watson,1990-4-15,1990-04-15,"Paris, France",,,,https://www.imdb.com//name/nm0914612,31
 Meg Ryan,1961-11-19,1961-11-19,"Fairfield, Connecticut, USA",,,,https://www.imdb.com//name/nm0000212,59
 Alan Arkin,1934-3-26,1934-03-26,"Brooklyn, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000273,87
 Kurt Russell,1951-3-17,1951-03-17,"Springfield, Massachusetts, USA",,,,https://www.imdb.com//name/nm0000621,70
 Jake Gyllenhaal,1980-12-19,1980-12-19,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0350453,40
 Ryan Gosling,1980-11-12,1980-11-12,"London, Ontario, Canada",,,,https://www.imdb.com//name/nm0331516,40
 Colin Firth,1960-9-10,1960-09-10,"Grayshott, Hampshire, England, UK",,,,https://www.imdb.com//name/nm0000147,60
 Jamie Foxx,1967-12-13,1967-12-13,"Terrell, Texas, USA",,,,https://www.imdb.com//name/nm0004937,53
 Adrien Brody,1973-4-14,1973-04-14,"Woodhaven, Queens, New York City, New York, USA",,,,https://www.imdb.com//name/nm0004778,48
 Roberto Benigni,1952-10-27,1952-10-27,"Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy",,,,https://www.imdb.com//name/nm0000905,68
 Jeremy Irons,1948-9-19,1948-09-19,"Cowes, Isle of Wight, England, UK",,,,https://www.imdb.com//name/nm0000460,72
 F. Murray Abraham,1939-10-24,1939-10-24,"Pittsburgh, Pennsylvania, USA",,,,https://www.imdb.com//name/nm0000719,81
 Richard Dreyfuss,1947-10-29,1947-10-29,"Brooklyn, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000377,73
 Peter Finch,1916-9-28,1916-09-28,"South Kensington, London, England, UK",1977-1-14,1977-01-14,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0002075,60
 Art Carney,1918-11-4,1918-11-04,"Mount Vernon, New York, USA",2003-11-9,2003-11-09,"Chester, Connecticut, USA",https://www.imdb.com//name/nm0138770,85
 Cliff Robertson,1923-9-9,1923-09-09,"Los Angeles, California, USA",2011-9-10,2011-09-10,"Stony Brook, Long Island, New York, USA",https://www.imdb.com//name/nm0731772,88
 Lee Marvin,1924-2-19,1924-02-19,"New York City, New York, USA",1987-8-29,1987-08-29,"Tucson, Arizona, USA",https://www.imdb.com//name/nm0001511,63
 Rex Harrison,1908-3-5,1908-03-05,"Huyton, Lancashire, England, UK [now Huyton, Knowsley, Merseyside, England, UK]",1990-6-2,1990-06-02,"New York City, New York, USA",https://www.imdb.com//name/nm0001322,82
 Anthony Quinn,1915-4-21,1915-04-21,"Chihuahua, Mexico",2001-6-3,2001-06-03,"Boston, Massachusetts, USA",https://www.imdb.com//name/nm0000063,86
 Maximilian Schell,1930-12-8,1930-12-08,"Vienna, Austria",2014-2-1,2014-02-01,"Innsbruck, Tyrol, Austria",https://www.imdb.com//name/nm0001703,83
 Tom Hardy,1977-9-15,1977-09-15,"Hammersmith, London, England, UK",,,,https://www.imdb.com//name/nm0362766,43
 David Niven,1910-3-1,1910-03-01,"London, England, UK",1983-7-29,1983-07-29,"Château-d'Oex, Switzerland",https://www.imdb.com//name/nm0000057,73
 William Hurt,1950-3-20,1950-03-20,"Washington, District of Columbia, USA",,,,https://www.imdb.com//name/nm0000458,71
 Yul Brynner,1920-7-11,1920-07-11,"Vladivostok, Primorskaya Oblast, Far Eastern Republic [now Primorsky Krai, Russia]",1985-10-10,1985-10-10,"New York City, New York, USA",https://www.imdb.com//name/nm0000989,65
 Ernest Borgnine,1917-1-24,1917-01-24,"Hamden, Connecticut, USA",2012-7-8,2012-07-08,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000308,95
 Benedict Cumberbatch,1976-7-19,1976-07-19,"Hammersmith, London, England, UK",,,,https://www.imdb.com//name/nm1212722,45
 Rod Steiger,1925-4-14,1925-04-14,"Westhampton, New York, USA",2002-7-9,2002-07-09,"Los Angeles, California, USA",https://www.imdb.com//name/nm0001768,77
 Chloë Grace Moretz,1997-2-10,1997-02-10,"Atlanta, Georgia, USA",,,,https://www.imdb.com//name/nm1631269,24
 Anna Kendrick,1985-8-9,1985-08-09,"Portland, Maine, USA",,,,https://www.imdb.com//name/nm0447695,35
 Emily Watson,1967-1-14,1967-01-14,"Islington, London, England, UK",,,,https://www.imdb.com//name/nm0001833,54
 Helena Bonham Carter,1966-5-26,1966-05-26,"Golders Green, London, England, UK",,,,https://www.imdb.com//name/nm0000307,55
 Keira Knightley,1985-3-26,1985-03-26,"Teddington, Middlesex, England, UK",,,,https://www.imdb.com//name/nm0461136,36
 Alexis Thorpe,1980-4-19,1980-04-19,"Newport Beach, California, USA",,,,https://www.imdb.com//name/nm0005490,41
 Marion Davies,1897-1-3,1897-01-03,"Brooklyn [now in New York City], New York, USA",1961-9-22,1961-09-22,"Hollywood, Los Angeles, California, USA",https://www.imdb.com//name/nm0203836,64
 Scarlett Johansson,1984-11-22,1984-11-22,"Manhattan, New York City, New York, USA",,,,https://www.imdb.com//name/nm0424060,36
 Dakota Fanning,1994-2-23,1994-02-23,"Conyers, Georgia, USA",,,,https://www.imdb.com//name/nm0266824,27
 Jennifer Aniston,1969-2-11,1969-02-11,"Sherman Oaks, California, USA",,,,https://www.imdb.com//name/nm0000098,52
 Jennifer Connelly,1970-12-12,1970-12-12,"Catskill Mountains, New York, USA",,,,https://www.imdb.com//name/nm0000124,50
 Rachel McAdams,1978-11-17,1978-11-17,"London, Ontario, Canada",,,,https://www.imdb.com//name/nm1046097,42
 Carey Mulligan,1985-5-28,1985-05-28,"Westminster, London, England, UK",,,,https://www.imdb.com//name/nm1659547,36
 Mila Kunis,1983-8-14,1983-08-14,"Chernovtsy, Ukrainian SSR, USSR [now Chernivtsi, Ukraine]",,,,https://www.imdb.com//name/nm0005109,37
 Amanda Seyfried,1985-12-3,1985-12-03,"Allentown, Pennsylvania, USA",,,,https://www.imdb.com//name/nm1086543,35
 Jennifer Lopez,1969-7-24,1969-07-24,"The Bronx, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000182,52
 Neve Campbell,1973-10-3,1973-10-03,"Guelph, Ontario, Canada",,,,https://www.imdb.com//name/nm0000117,47
 Fairuza Balk,1974-5-21,1974-05-21,"Point Reyes, California, USA",,,,https://www.imdb.com//name/nm0000103,47
 Jessica Alba,1981-4-28,1981-04-28,"Pomona, California, USA",,,,https://www.imdb.com//name/nm0004695,40
 Kristen Stewart,1990-4-9,1990-04-09,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0829576,31
 Julie Walters,1950-2-22,1950-02-22,"Edgbaston, Birmingham, West Midlands, England, UK",,,,https://www.imdb.com//name/nm0910278,71
 Rooney Mara,1985-4-17,1985-04-17,"Bedford, New York, USA",,,,https://www.imdb.com//name/nm1913734,36
 Jamie Lee Curtis,1958-11-22,1958-11-22,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0000130,62
 Emma Stone,1988-11-6,1988-11-06,"Scottsdale, Arizona, USA",,,,https://www.imdb.com//name/nm1297015,32
 Kirsten Dunst,1982-4-30,1982-04-30,"Point Pleasant, New Jersey, USA",,,,https://www.imdb.com//name/nm0000379,39
 José Ferrer,1912-1-8,1912-01-08,"Santurce, Puerto Rico",1992-1-26,1992-01-26,"Coral Gables, Florida, USA",https://www.imdb.com//name/nm0001207,80
 Broderick Crawford,1911-12-9,1911-12-09,"Philadelphia, Pennsylvania, USA",1986-4-26,1986-04-26,"Rancho Mirage, California, USA",https://www.imdb.com//name/nm0002024,74
 Ronald Colman,1891-2-9,1891-02-09,"Richmond, Surrey, England, UK",1958-5-19,1958-05-19,"Santa Barbara, California, USA",https://www.imdb.com//name/nm0172903,67
 Fredric March,1897-8-31,1897-08-31,"Racine, Wisconsin, USA",1975-4-14,1975-04-14,"Los Angeles, California, USA",https://www.imdb.com//name/nm0545298,77
 Ray Milland,1907-1-3,1907-01-03,"Neath, Glamorgan, Wales, UK",1986-3-10,1986-03-10,"Torrance, California, USA",https://www.imdb.com//name/nm0001537,79
 Bing Crosby,1903-5-2,1903-05-02,"Tacoma, Washington, USA",1977-10-14,1977-10-14,"Madrid, Spain",https://www.imdb.com//name/nm0001078,74
 Paul Lukas,1895-5-26,1895-05-26,"Budapest, Austria-Hungary [now Hungary]",1971-8-16,1971-08-16,"Tangier, Morocco",https://www.imdb.com//name/nm0510134,76
 Robert Donat,1905-3-18,1905-03-18,"Withington, Manchester, England, UK",1958-6-9,1958-06-09,"London, England, UK",https://www.imdb.com//name/nm0232196,53
 Paul Muni,1895-9-22,1895-09-22,"Lemberg, Galicia, Austria-Hungary [now Lviv, Ukraine]",1967-8-25,1967-08-25,"Montecito, California, USA",https://www.imdb.com//name/nm0612847,71
 Victor McLaglen,1886-12-10,1886-12-10,"Tunbridge Wells, Kent, England, UK",1959-11-7,1959-11-07,"Newport Beach, California, USA",https://www.imdb.com//name/nm0572142,72
 Charles Laughton,1899-7-1,1899-07-01,"Victoria Hotel, Scarborough, North Yorkshire, England, UK",1962-12-15,1962-12-15,"Hollywood, Los Angeles, California, USA",https://www.imdb.com//name/nm0001452,63
 Wallace Beery,1885-4-1,1885-04-01,"Kansas City, Missouri, USA",1949-4-15,1949-04-15,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0000891,64
 Lionel Barrymore,1878-4-28,1878-04-28,"Philadelphia, Pennsylvania, USA",1954-11-15,1954-11-15,"Van Nuys, California, USA",https://www.imdb.com//name/nm0000859,76
 Jeff Goldblum,1952-10-22,1952-10-22,"Pittsburgh, Pennsylvania, USA",,,,https://www.imdb.com//name/nm0000156,68
 Chris Hemsworth,1983-8-11,1983-08-11,"Melbourne, Victoria, Australia",,,,https://www.imdb.com//name/nm1165110,37
 Warner Baxter,1889-3-29,1889-03-29,"Columbus, Ohio, USA",1951-5-7,1951-05-07,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0062828,62
 Emil Jannings,1884-7-23,1884-07-23,"Rorschach, St. Gallen, Switzerland",1950-1-2,1950-01-02,"Strobl, Salzburg, Austria",https://www.imdb.com//name/nm0417837,65
 Chris Cooper,1951-7-9,1951-07-09,"Kansas City, Missouri, USA",,,,https://www.imdb.com//name/nm0177933,70
 Jim Broadbent,1949-5-24,1949-05-24,"Lincoln, Lincolnshire, England, UK",,,,https://www.imdb.com//name/nm0000980,72
 James Coburn,1928-8-31,1928-08-31,"Laurel, Nebraska, USA",2002-11-18,2002-11-18,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0000336,74
 Cuba Gooding Jr.,1968-1-2,1968-01-02,"The Bronx, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000421,53
 Martin Landau,1928-6-20,1928-06-20,"Brooklyn, New York City, New York, USA",2017-7-15,2017-07-15,"Los Angeles, California, USA",https://www.imdb.com//name/nm0001445,89
 Jack Palance,1919-2-18,1919-02-18,"Lattimer Mines, Pennsylvania, USA",2006-11-10,2006-11-10,"Montecito, California, USA",https://www.imdb.com//name/nm0001588,87
 Kevin Kline,1947-10-24,1947-10-24,"St. Louis, Missouri, USA",,,,https://www.imdb.com//name/nm0000177,73
 Don Ameche,1908-5-31,1908-05-31,"Kenosha, Wisconsin, USA",1993-12-6,1993-12-06,"Scottsdale, Arizona, USA",https://www.imdb.com//name/nm0000747,85
 Kate Beckinsale,1973-7-26,1973-07-26,"Finsbury Park, London, England, UK",,,,https://www.imdb.com//name/nm0000295,48
 Zooey Deschanel,1980-1-17,1980-01-17,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0221046,41
 Michelle Williams,1980-9-9,1980-09-09,"Kalispell, Montana, USA",,,,https://www.imdb.com//name/nm0931329,40
 Milla Jovovich,1975-12-17,1975-12-17,"Kiev, Ukrainian SSR, USSR [now Ukraine]",,,,https://www.imdb.com//name/nm0000170,45
 Selena Gomez,1992-7-22,1992-07-22,"Grand Prairie, Texas, USA",,,,https://www.imdb.com//name/nm1411125,29
 Rachel Weisz,1970-3-7,1970-03-07,"Westminster, London, England, UK",,,,https://www.imdb.com//name/nm0001838,51
 Kristen Bell,1980-7-18,1980-07-18,"Huntington Woods, Michigan, USA",,,,https://www.imdb.com//name/nm0068338,41
 Katherine Heigl,1978-11-24,1978-11-24,"Washington, District of Columbia, USA",,,,https://www.imdb.com//name/nm0001337,42
 Liv Tyler,1977-7-1,1977-07-01,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000239,44
 Jessica Chastain,1977-3-24,1977-03-24,"Sacramento, California, USA",,,,https://www.imdb.com//name/nm1567113,44
 Megan Fox,1986-5-16,1986-05-16,"Oak Ridge, Tennessee, USA",,,,https://www.imdb.com//name/nm1083271,35
 Betty White,1922-1-17,1922-01-17,"Oak Park, Illinois, USA",,,,https://www.imdb.com//name/nm0924508,99
 Geraldine Page,1924-11-22,1924-11-22,"Kirksville, Missouri, USA",1987-6-13,1987-06-13,"New York City, New York, USA",https://www.imdb.com//name/nm0656183,62
 Eliza Dushku,1980-12-30,1980-12-30,"Boston, Massachusetts, USA",,,,https://www.imdb.com//name/nm0244630,40
 Robin Wright,1966-4-8,1966-04-08,"Dallas, Texas, USA",,,,https://www.imdb.com//name/nm0000705,55
 Leighton Meester,1986-4-9,1986-04-09,"Fort Worth, Texas, USA",,,,https://www.imdb.com//name/nm1015262,35
 Jennifer Jones,1919-3-2,1919-03-02,"Tulsa, Oklahoma, USA",2009-12-17,2009-12-17,"Malibu, California, USA",https://www.imdb.com//name/nm0428354,90
 Shirley Temple,1928-4-23,1928-04-23,"Santa Monica, California, USA",2014-2-10,2014-02-10,"Woodside, California, USA",https://www.imdb.com//name/nm0000073,85
 Julia Louis-Dreyfus,1961-1-13,1961-01-13,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000506,60
 Olivia Thirlby,1986-10-6,1986-10-06,"New York City, New York, USA",,,,https://www.imdb.com//name/nm1880888,34
 Cher,1946-5-20,1946-05-20,"El Centro, California, USA",,,,https://www.imdb.com//name/nm0000333,75
 Sissy Spacek,1949-12-25,1949-12-25,"Quitman, Texas, USA",,,,https://www.imdb.com//name/nm0000651,71
 Louise Fletcher,1934-7-22,1934-07-22,"Birmingham, Alabama, USA",,,,https://www.imdb.com//name/nm0001221,87
 Julie Christie,1940-4-14,1940-04-14,"Chabua, Assam Province, British India [now Assam, India]",,,,https://www.imdb.com//name/nm0001046,81
 Patricia Neal,1926-1-20,1926-01-20,"Packard, Kentucky, USA",2010-8-8,2010-08-08,"Edgartown, Massachusetts, USA",https://www.imdb.com//name/nm0623658,84
 Haing S. Ngor,1940-3-22,1940-03-22,"Samrong Young, Cambodia",1996-2-25,1996-02-25,"Los Angeles, California, USA",https://www.imdb.com//name/nm0628955,55
 Louis Gossett Jr.,1936-5-27,1936-05-27,"Brooklyn, New York City, New York, USA",,,,https://www.imdb.com//name/nm0001283,85
 John Gielgud,1904-4-14,1904-04-14,"South Kensington, London, England, UK",2000-5-21,2000-05-21,"Wotton Underwood, Aylesbury, Buckinghamshire, England, UK",https://www.imdb.com//name/nm0000024,96
 Timothy Hutton,1960-8-16,1960-08-16,"Malibu, California, USA",,,,https://www.imdb.com//name/nm0000459,60
 Melvyn Douglas,1901-4-5,1901-04-05,"Macon, Georgia, USA",1981-8-4,1981-08-04,"New York City, New York, USA",https://www.imdb.com//name/nm0002048,80
 Jason Robards,1922-7-26,1922-07-26,"Chicago, Illinois, USA",2000-12-26,2000-12-26,"Bridgeport, Connecticut, USA",https://www.imdb.com//name/nm0001673,78
 George Burns,1896-1-20,1896-01-20,"New York City, New York, USA",1996-3-9,1996-03-09,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0122675,100
 Christian Bale,1974-1-30,1974-01-30,"Haverfordwest, Pembrokeshire, Wales, UK",,,,https://www.imdb.com//name/nm0000288,47
 Ethan Hawke,1970-11-6,1970-11-06,"Austin, Texas, USA",,,,https://www.imdb.com//name/nm0000160,50
 Ben Johnson,1918-6-13,1918-06-13,"Foraker, Shidler, Oklahoma, USA",1996-4-8,1996-04-08,"Mesa, Arizona, USA",https://www.imdb.com//name/nm0424565,77
 John Mills,1908-2-22,1908-02-22,"The Watts Naval Training College, North Elmham, Norfolk, England, UK",2005-4-23,2005-04-23,"Denham, Buckinghamshire, England, UK",https://www.imdb.com//name/nm0590055,97
 Jack Albertson,1907-6-16,1907-06-16,"Malden, Massachusetts, USA",1981-11-25,1981-11-25,"Hollywood Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0016776,74
 Sean Penn,1960-8-17,1960-08-17,"Santa Monica, California, USA",,,,https://www.imdb.com//name/nm0000576,60
 George Kennedy,1925-2-18,1925-02-18,"New York City, New York, USA",2016-2-28,2016-02-28,"Middleton, Idaho, USA",https://www.imdb.com//name/nm0001421,91
 Walter Matthau,1920-10-1,1920-10-01,"Lower East Side, Manhattan, New York City, New York, USA",2000-7-1,2000-07-01,"Santa Monica, California, USA",https://www.imdb.com//name/nm0000527,79
 Martin Balsam,1919-11-4,1919-11-04,"The Bronx, New York City, New York, USA",1996-2-13,1996-02-13,"Rome, Lazio, Italy",https://www.imdb.com//name/nm0000842,76
 Peter Ustinov,1921-4-16,1921-04-16,"London, England, UK",2004-3-28,2004-03-28,"Genolier, Vaud, Switzerland",https://www.imdb.com//name/nm0001811,82
 Ed Begley,1901-3-25,1901-03-25,"Hartford, Connecticut, USA",1970-4-28,1970-04-28,"Hollywood, Los Angeles, California, USA",https://www.imdb.com//name/nm0003225,69
 George Chakiris,1934-9-16,1934-09-16,"Norwood, Ohio, USA",,,,https://www.imdb.com//name/nm0001995,86
 Hugh Griffith,1912-5-30,1912-05-30,"Marian Glas, Anglesey, Wales, UK",1980-5-14,1980-05-14,"London, England, UK",https://www.imdb.com//name/nm0341518,67
 Burl Ives,1909-6-14,1909-06-14,"Hunt City, Illinois, USA",1995-4-14,1995-04-14,"Anacortes, Washington, USA",https://www.imdb.com//name/nm0412322,85
 Red Buttons,1919-2-5,1919-02-05,"New York City, New York, USA",2006-7-13,2006-07-13,"Century City, California, USA",https://www.imdb.com//name/nm0000999,87
 Edmond O'Brien,1915-9-10,1915-09-10,"New York City, New York, USA",1985-5-9,1985-05-09,"St. Erne's Sanatorium, Inglewood, California, USA",https://www.imdb.com//name/nm0639529,69
 Chris Pratt,1979-6-21,1979-06-21,"Virginia, Minnesota, USA",,,,https://www.imdb.com//name/nm0695435,42
 Frank Sinatra,1915-12-12,1915-12-12,"Hoboken, New Jersey, USA",1998-5-14,1998-05-14,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000069,82
 Anne Bancroft,1931-9-17,1931-09-17,"The Bronx, New York City, New York, USA",2005-6-6,2005-06-06,"New York City, New York, USA",https://www.imdb.com//name/nm0000843,73
 Kim Novak,1933-2-13,1933-02-13,"Chicago, Illinois, USA",,,,https://www.imdb.com//name/nm0001571,88
 Simone Signoret,1921-3-25,1921-03-25,"Wiesbaden, Hesse, Germany",1985-9-30,1985-09-30,"Autheuil-Authouillet, Eure, France",https://www.imdb.com//name/nm0797531,64
 Elliot Page,1987-2-21,1987-02-21,"Halifax, Nova Scotia, Canada",,,,https://www.imdb.com//name/nm0680983,34
 Angela Lansbury,1925-10-16,1925-10-16,"Regent's Park, London, England, UK",,,,https://www.imdb.com//name/nm0001450,95
 Judy Holliday,1921-6-21,1921-06-21,"New York City, New York, USA",1965-6-7,1965-06-07,"New York City, New York, USA",https://www.imdb.com//name/nm0391062,43
 Loretta Young,1913-1-6,1913-01-06,"Salt Lake City, Utah, USA",2000-8-12,2000-08-12,"Los Angeles, California, USA",https://www.imdb.com//name/nm0949835,87
 Shirley Jones,1934-3-31,1934-03-31,"Charleroi, Pennsylvania, USA",,,,https://www.imdb.com//name/nm0429250,87
 Vera Farmiga,1973-8-6,1973-08-06,"Clifton, New Jersey, USA",,,,https://www.imdb.com//name/nm0267812,47
 Helen Hayes,1900-10-10,1900-10-10,"Washington, District of Columbia, USA",1993-3-17,1993-03-17,"Nyack, New York, USA",https://www.imdb.com//name/nm0371040,92
